model,seed,split,condition_id,group,missing_modalities,requested_rate,position,duration,effective_missing_rate,base_valid_bins,remaining_valid_bins,effective_missing_rate_text,remaining_ratio_text,effective_missing_rate_audio,remaining_ratio_audio,effective_missing_rate_vision,remaining_ratio_vision,accuracy,macro_f1,mae,rmse,pearson,f1_negative,f1_neutral,f1_positive,valid_sample_count
robust,43,valid,rate__text+audio__r0p40__random__medium,rate,text+audio,0.4,random,medium,0.2752281215107997,51946,37649,0.40031135924414857,0.5996886407558514,0.3993927361905874,0.6006072638094125,0.0,1.0,0.5796703296703297,0.5543863186701022,0.657872429022893,0.9002831665689869,0.5258710778560622,0.5979899497487438,0.40896358543417366,0.6562054208273894,728
robust,43,test,rate__text+audio__r0p40__random__medium,rate,text+audio,0.4,random,medium,0.27581135405431906,50995,36930,0.4000764651264406,0.5999235348735594,0.3998813408484129,0.600118659151587,0.0,1.0,0.6492434662998624,0.6035823179753558,0.6857763768610592,0.9268266325868519,0.6005313290415499,0.6365914786967419,0.43046357615894043,0.743691899070385,727
robust,43,valid,rate__text+vision__r0p10__random__medium,rate,text+vision,0.1,random,medium,0.06755091826127133,51946,48437,0.10076229332188104,0.899237706678119,0.0,1.0,0.1007905138339921,0.8992094861660079,0.6222527472527473,0.5861208245484621,0.5980896869812489,0.8028703620122186,0.6436501458576971,0.6483790523690773,0.4049079754601227,0.7050754458161865,728
robust,43,test,rate__text+vision__r0p10__random__medium,rate,text+vision,0.1,random,medium,0.06732032552211001,50995,47562,0.10066087716423616,0.8993391228357638,0.0,1.0,0.1004358537047565,0.8995641462952435,0.6795048143053645,0.6108984578254231,0.6334898840620642,0.8541275922961228,0.6766374500517226,0.6749379652605458,0.37547892720306514,0.7822784810126581,727
robust,43,valid,rate__text+vision__r0p20__random__medium,rate,text+vision,0.2,random,medium,0.1346013167520117,51946,44954,0.20050461670603392,0.7994953832939661,0.0,1.0,0.20114871541501977,0.7988512845849802,0.603021978021978,0.5692544234718823,0.6024142077760669,0.8092014754508688,0.6370220895073925,0.6463104325699746,0.38297872340425526,0.6784741144414169,728
robust,43,test,rate__text+vision__r0p20__random__medium,rate,text+vision,0.2,random,medium,0.1342876752622806,50995,44147,0.19979245179966137,0.8002075482003387,0.0,1.0,0.20150337944539196,0.798496620554608,0.6698762035763411,0.609240152774989,0.659035619724916,0.901590153970175,0.6303900534158798,0.6633416458852868,0.3941605839416058,0.7702182284980745,727
robust,43,valid,rate__text+vision__r0p30__random__medium,rate,text+vision,0.3,random,medium,0.20045816809763986,51946,41533,0.29869014386944387,0.7013098561305562,0.0,1.0,0.29946887351778656,0.7005311264822134,0.6126373626373627,0.5826192228560072,0.621452381972551,0.8502705518820671,0.5893781838812324,0.6291560102301791,0.4192634560906516,0.6994382022471909,728
robust,43,test,rate__text+vision__r0p30__random__medium,rate,text+vision,0.3,random,medium,0.2003725855476027,50995,40777,0.2995248238571194,0.7004751761428806,0.0,1.0,0.29903354178510516,0.7009664582148948,0.6396148555708391,0.5932873287132564,0.7082701095570765,0.9653659845533744,0.5628180727084692,0.624078624078624,0.4246575342465754,0.7311258278145696,727
robust,43,valid,rate__text+vision__r0p40__random__medium,rate,text+vision,0.4,random,medium,0.26802833711931623,51946,38023,0.40031135924414857,0.5996886407558514,0.0,1.0,0.39933300395256915,0.6006669960474308,0.5728021978021978,0.5433426051073109,0.6642151330034811,0.8942232231234793,0.5315317124275151,0.5833333333333333,0.38655462184873945,0.6601398601398601,728
robust,43,test,rate__text+vision__r0p40__random__medium,rate,text+vision,0.4,random,medium,0.26773213060103934,50995,37342,0.4000764651264406,0.5999235348735594,0.0,1.0,0.39972206430421325,0.6002779356957868,0.6107290233837689,0.5573652265251362,0.7355513095245934,0.9909756693946336,0.5306713144518185,0.5699745547073791,0.37748344370860926,0.7246376811594203,727
robust,43,valid,rate__audio+vision__r0p10__random__medium,rate,audio+vision,0.1,random,medium,0.06479805952335117,51946,48580,0.0,1.0,0.1012495620693682,0.8987504379306318,0.1007905138339921,0.8992094861660079,0.6401098901098901,0.6011628168968931,0.5800693264323195,0.7732498875983165,0.6773359956215305,0.6733668341708543,0.40752351097178685,0.7225981055480379,728
robust,43,test,rate__audio+vision__r0p10__random__medium,rate,audio+vision,0.1,random,medium,0.06439847043827826,50995,47711,0.0,1.0,0.10050430139424503,0.899495698605755,0.1004358537047565,0.8995641462952435,0.6987620357634112,0.6389240083088652,0.6155045671155356,0.835528877869617,0.6952229556870129,0.6862745098039216,0.4401544401544401,0.7903430749682339,727
robust,43,valid,rate__audio+vision__r0p20__random__medium,rate,audio+vision,0.2,random,medium,0.1289223424325261,51946,45249,0.0,1.0,0.20086418311339485,0.7991358168866052,0.20114871541501977,0.7988512845849802,0.6401098901098901,0.6004068096353895,0.5804693622483903,0.773704195357691,0.6768592757344815,0.6750629722921914,0.40378548895899047,0.7223719676549865,728
robust,43,test,rate__audio+vision__r0p20__random__medium,rate,audio+vision,0.2,random,medium,0.12918913618982253,50995,44407,0.0,1.0,0.2016018985464254,0.7983981014535746,0.20150337944539196,0.798496620554608,0.6973865199449794,0.6378467065040931,0.615600086092703,0.8355984941564226,0.6951279920122839,0.6862745098039216,0.4384615384615385,0.7888040712468194,727
robust,43,valid,rate__audio+vision__r0p30__random__medium,rate,audio+vision,0.3,random,medium,0.19214183960266432,51946,41965,0.0,1.0,0.29966133364475067,0.7003386663552493,0.29946887351778656,0.7005311264822134,0.6428571428571429,0.6055501071519379,0.5806037951363149,0.7735749232050335,0.6768068640875788,0.6766917293233082,0.4161490683229814,0.7238095238095239,728
robust,43,test,rate__audio+vision__r0p30__random__medium,rate,audio+vision,0.3,random,medium,0.19164623982743406,50995,41222,0.0,1.0,0.2989617324236132,0.7010382675763869,0.29903354178510516,0.7009664582148948,0.6987620357634112,0.640175957148606,0.6154892511378867,0.8359868030315897,0.6947753746720964,0.6862745098039216,0.4444444444444445,0.7898089171974522,727
robust,43,valid,rate__audio+vision__r0p40__random__medium,rate,audio+vision,0.4,random,medium,0.256150617949409,51946,38640,0.0,1.0,0.3993927361905874,0.6006072638094125,0.39933300395256915,0.6006669960474308,0.6442307692307693,0.6054010652851513,0.579694121751095,0.7735342605140454,0.6766588421458517,0.6750629722921914,0.4150943396226415,0.7260458839406208,728
