model,split,condition_id,group,missing_modalities,requested_rate,position,duration,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,mae_mean,mae_std,rmse_mean,rmse_std,pearson_mean,pearson_std,effective_missing_rate_mean,effective_missing_rate_std
robust_noaug,valid,ablation__complete__r0p00__none__none,ablation,,0.0,none,none,0.6336996336996337,0.006571749127475909,0.6151736884528932,0.0049798966430118635,0.5747184743533328,0.009859469812605649,0.7800680408649932,0.015379993745264968,0.6803624101343946,0.006778392220367269,0.0,0.0
robust_noaug,valid,ablation__text+audio+vision__r1p00__random__long,ablation,text+audio+vision,1.0,random,long,0.25274725274725274,0.0,0.13450292397660818,0.0,0.8009452394281443,0.014238326515511294,1.069410370020001,0.0074864534963026115,0.011616165802598812,0.008213869610404894,1.0,0.0
robust_noaug,valid,ablation__text+audio__r1p00__random__long,ablation,text+audio,1.0,random,long,0.3543956043956044,0.026987476242291912,0.3018146300237469,0.04526276154815449,0.7838134193074832,0.011154671921736971,1.0407780456398668,0.008558204405003563,0.23331882490995218,0.0046358977249246576,0.6882916875216573,1.1102230246251565e-16
robust_noaug,valid,ablation__text+vision__r1p00__random__long,ablation,text+vision,1.0,random,long,0.304029304029304,0.023641631215065184,0.2453224124538308,0.054189164272324064,0.7959685886501345,0.004858238093024706,1.061947181540166,0.0043555415653997185,0.05898547328233558,0.02055324592930586,0.6703114773033535,0.0
robust_noaug,valid,ablation__text__r1p00__random__long,ablation,text,1.0,random,long,0.38003663003663,0.020198484432337686,0.3671677127845629,0.027153227342872552,0.7838497135452176,0.006906045128836399,1.0411444499134916,0.004591282734756281,0.211137842572619,0.01748876090732795,0.3586031648250106,0.0
robust_noaug,valid,ablation__vision__r1p00__random__long,ablation,vision,1.0,random,long,0.6263736263736264,0.008087693101032798,0.6070491917847022,0.0037890335683992,0.5846481198647943,0.011179450856770282,0.7919416114172172,0.017483791676892575,0.6717325590499006,0.006128416089965337,0.3117083124783429,0.0
robust_noaug,valid,baseline__complete__r0p00__none__none,baseline,,0.0,none,none,0.6336996336996337,0.006571749127475909,0.6151736884528932,0.0049798966430118635,0.5747184743533328,0.009859469812605649,0.7800680408649932,0.015379993745264968,0.6803624101343946,0.006778392220367269,0.0,0.0
robust_noaug,valid,duration__audio__r0p30__random__long,duration,audio,0.3,random,long,0.6323260073260073,0.005532530207689803,0.6141291988922365,0.0048575396148565235,0.5740853601251302,0.009746264917836365,0.7792156824492423,0.015278011628712155,0.6809330273647819,0.0067914310508046605,0.09879490239864475,0.0
robust_noaug,valid,duration__audio__r0p30__random__medium,duration,audio,0.3,random,medium,0.6323260073260073,0.005532530207689803,0.6144866033017745,0.004253370517513975,0.5750178167521408,0.009841477658679794,0.780228676176872,0.01510963611089225,0.6799356186407519,0.0066568990609070676,0.09879490239864475,0.0
robust_noaug,valid,duration__audio__r0p30__random__short,duration,audio,0.3,random,short,0.6318681318681318,0.007004147683506598,0.6138876438407991,0.005177905437927796,0.5744824493252724,0.010069623078176574,0.7798307240069896,0.015467513842262894,0.6804315256773421,0.006803690618794733,0.09879490239864475,0.0
robust_noaug,valid,duration__text__r0p30__random__long,duration,text,0.3,random,long,0.5897435897435898,0.000647533682405261,0.5795720321639583,0.008224304523457073,0.617027869112892,0.015372041103216836,0.8433498677295251,0.020135136644197256,0.6083157411783291,0.019224314600868507,0.1071112308936203,0.0
robust_noaug,valid,duration__text__r0p30__random__medium,duration,text,0.3,random,medium,0.5732600732600733,0.021641579300542967,0.5645309060059985,0.015589551537006205,0.6282682921123374,0.011399424794889038,0.8625668667566627,0.017550514496880876,0.5804929855055965,0.011238650550381134,0.1071112308936203,0.0
robust_noaug,valid,duration__text__r0p30__random__short,duration,text,0.3,random,short,0.5581501831501832,0.010600583244313356,0.543419639047186,0.019872390249281963,0.6444864201209347,0.008656784982462801,0.8830460683414477,0.022100526936266497,0.5601722803021494,0.01648388172071491,0.1071112308936203,0.0
robust_noaug,valid,duration__vision__r0p30__random__long,duration,vision,0.3,random,long,0.6341575091575091,0.00617707763884254,0.6162651704871168,0.004781119729487247,0.5744583461503584,0.010063101786835433,0.7798010463087238,0.015340672196029116,0.6804556346024468,0.007034562087475663,0.09334693720401956,0.0
robust_noaug,valid,duration__vision__r0p30__random__medium,duration,vision,0.3,random,medium,0.6323260073260073,0.009538766783882645,0.6142396110409871,0.006104143259129127,0.5746175294806805,0.009840510030382365,0.7800919460063455,0.015307749814313015,0.680221190058996,0.006790884218249939,0.09334693720401956,0.0
robust_noaug,valid,duration__vision__r0p30__random__short,duration,vision,0.3,random,short,0.6327838827838828,0.00617707763884254,0.6147956320876539,0.004604425751499791,0.5747869516733092,0.00987514110547817,0.7800798116281037,0.015020163333357903,0.6801791784143552,0.006624633613402471,0.09334693720401956,0.0
robust_noaug,valid,position__audio__r0p30__middle__medium,position,audio,0.3,middle,medium,0.6323260073260073,0.007467722724496404,0.6144631249708253,0.004422172255840254,0.5749003332092908,0.010113683476039378,0.7800213178550589,0.015503067966733067,0.6802416721906651,0.007003944386072395,0.09879490239864475,0.0
robust_noaug,valid,position__audio__r0p30__prefix__medium,position,audio,0.3,prefix,medium,0.6332417582417582,0.008467601652429931,0.6157373827569691,0.007160189751760157,0.5747464324983909,0.009842782527013328,0.780048889902245,0.015540093077809932,0.6802535140871271,0.006789971755517724,0.09879490239864475,0.0
