variant,id,main_modality,aligned_bin,occlusion_drop,positive_occlusion_drop,normalized_local_importance
aligned,05,vision,2,0.007991492748260498,0.007991492748260498,0.08459935273528968
aligned,05,vision,3,0.008141279220581055,0.008141279220581055,0.08618501876865745
aligned,05,vision,4,0.008209407329559326,0.008209407329559326,0.0869062349549445
aligned,05,vision,5,0.00780099630355835,0.00780099630355835,0.08258272374896124
aligned,05,vision,6,0.007205486297607422,0.007205486297607422,0.07627854971817043
aligned,05,vision,7,0.007284224033355713,0.007284224033355713,0.07711208128604898
aligned,05,vision,8,0.006386101245880127,0.006386101245880127,0.06760439493874079
aligned,05,vision,9,0.0056084394454956055,0.0056084394454956055,0.05937192986219912
aligned,05,vision,10,0.005423247814178467,0.005423247814178467,0.057411458566666435
aligned,05,vision,11,0.005482733249664307,0.005482733249664307,0.05804118188592669
aligned,05,vision,12,0.007203519344329834,0.007203519344329834,0.0762577272036057
aligned,05,vision,13,0.0039039254188537598,0.0039039254188537598,0.041327643528646416
aligned,05,vision,14,0.0026534199714660645,0.0026534199714660645,0.02808957214780452
aligned,05,vision,15,0.003216862678527832,0.003216862678527832,0.03405427609266145
aligned,05,vision,16,-5.960464477539063e-08,0.0,0.0
aligned,05,vision,17,-5.960464477539063e-08,0.0,0.0
aligned,05,vision,18,-5.960464477539063e-08,0.0,0.0
aligned,05,vision,19,-5.960464477539063e-08,0.0,0.0
aligned,05,vision,20,-5.960464477539063e-08,0.0,0.0
aligned,05,vision,21,-5.960464477539063e-08,0.0,0.0
aligned,05,vision,22,-5.960464477539063e-08,0.0,0.0
aligned,05,vision,23,-5.960464477539063e-08,0.0,0.0
aligned,05,vision,24,-5.960464477539063e-08,0.0,0.0
aligned,05,vision,25,-5.960464477539063e-08,0.0,0.0
aligned,05,vision,26,-5.960464477539063e-08,0.0,0.0
aligned,05,vision,27,-5.960464477539063e-08,0.0,0.0
aligned,05,vision,28,-5.960464477539063e-08,0.0,0.0
aligned,05,vision,29,-5.960464477539063e-08,0.0,0.0
aligned,05,vision,30,-5.960464477539063e-08,0.0,0.0
aligned,05,vision,31,-5.960464477539063e-08,0.0,0.0
aligned,05,vision,32,-5.960464477539063e-08,0.0,0.0
aligned,05,vision,33,-5.960464477539063e-08,0.0,0.0
aligned,05,vision,34,-5.960464477539063e-08,0.0,0.0
aligned,05,vision,35,-5.960464477539063e-08,0.0,0.0
aligned,05,vision,36,-5.960464477539063e-08,0.0,0.0
aligned,05,vision,37,-5.960464477539063e-08,0.0,0.0
aligned,05,vision,38,-5.960464477539063e-08,0.0,0.0
aligned,05,vision,39,-5.960464477539063e-08,0.0,0.0
aligned,05,vision,40,-5.960464477539063e-08,0.0,0.0
aligned,05,vision,41,-5.960464477539063e-08,0.0,0.0
aligned,05,vision,42,-5.960464477539063e-08,0.0,0.0
aligned,05,vision,43,-5.960464477539063e-08,0.0,0.0
aligned,05,vision,44,-5.960464477539063e-08,0.0,0.0
aligned,05,vision,45,-5.960464477539063e-08,0.0,0.0
aligned,05,vision,46,-5.960464477539063e-08,0.0,0.0
aligned,05,vision,47,-5.960464477539063e-08,0.0,0.0
aligned,05,vision,48,-5.960464477539063e-08,0.0,0.0
aligned,05,vision,49,-5.960464477539063e-08,0.0,0.0
aligned,06,text,0,-0.0026958584785461426,0.0,0.0
aligned,06,text,1,0.0016060471534729004,0.0016060471534729004,0.019318264919407455
aligned,06,text,2,0.0060343146324157715,0.0060343146324157715,0.07258347827707891
aligned,06,text,3,-0.004109859466552734,0.0,0.0
aligned,06,text,4,0.005172789096832275,0.005172789096832275,0.06222065767417984
aligned,06,text,5,0.002329528331756592,0.002329528331756592,0.028020625267960717
aligned,06,text,6,0.008435189723968506,0.008435189723968506,0.10146229479048519
aligned,06,text,7,0.002307295799255371,0.002307295799255371,0.02775320226499397
aligned,06,text,8,-0.0031427741050720215,0.0,0.0
aligned,06,text,9,0.0019073486328125,0.0019073486328125,0.02294245601859486
aligned,06,text,10,-0.0010145902633666992,0.0,0.0
aligned,06,text,11,-0.005338072776794434,0.0,0.0
aligned,06,text,12,0.0032193660736083984,0.0032193660736083984,0.0387239979523858
aligned,06,text,13,0.001037299633026123,0.001037299633026123,0.012477111315362699
aligned,06,text,14,0.005429685115814209,0.005429685115814209,0.06531071971918434
aligned,06,text,15,0.004572510719299316,0.004572510719299316,0.05500023659407769
aligned,06,text,16,0.0015241503715515137,0.0015241503715515137,0.018333173214109037
aligned,06,text,17,0.0014746785163879395,0.0014746785163879395,0.017738103261126733
aligned,06,text,18,-0.0033171772956848145,0.0,0.0
aligned,06,text,19,0.001818537712097168,0.001818537712097168,0.021874197910229036
aligned,06,text,20,-0.0012857317924499512,0.0,0.0
aligned,06,text,21,1.1622905731201172e-05,1.1622905731201172e-05,0.00013980559136331244
aligned,06,text,22,-0.002713620662689209,0.0,0.0
aligned,06,text,23,-0.0022626519203186035,0.0,0.0
aligned,06,text,24,0.011238574981689453,0.011238574981689453,0.13518268647556556
aligned,06,text,25,0.007619619369506836,0.007619619369506836,0.09165224398728414
aligned,06,text,26,0.007465660572052002,0.007465660572052002,0.08980035761553319
aligned,06,text,27,0.0030282139778137207,0.0030282139778137207,0.036424733688272246
aligned,06,text,28,-0.002605915069580078,0.0,0.0
aligned,06,text,29,-0.0033618807792663574,0.0,0.0
