split,metric,comparison,group,mean_difference,seed_sd,seed42,seed43,seed44
test,macro_f1,robust_noaug - baseline,duration,-0.0028516169859849924,0.013253328908550186,-0.012632702213526945,-0.008154136031346786,0.012231987286918754
test,macro_f1,robust_noaug - baseline,ablation,-0.026291134874509226,0.023080976240814302,-0.034942432610435455,-0.04379660484737291,-0.00013436716571931954
test,macro_f1,robust - robust_noaug,baseline,-0.00880089550623516,0.01885508211017699,-0.02819030355561214,-0.007682453079852936,0.009470070116759599
test,macro_f1,robust - robust_noaug,rate,-0.0019606803602627582,0.013363038522301975,-0.013047578949266487,-0.00571138558924429,0.012876923457722502
test,macro_f1,robust - robust_noaug,position,-0.0007494354415673246,0.01444126440437258,-0.012734654257414787,-0.004797543888916215,0.015283891821629028
test,macro_f1,robust - robust_noaug,duration,-0.002650167921996403,0.015198413492001225,-0.019033838151558385,9.43481246036024e-05,0.010988986260965573
test,macro_f1,robust - robust_noaug,ablation,0.020204650100995026,0.014797335188580629,0.022258220376415592,0.03386793867059262,0.004487791255976862
test,mae,robust_noaug - baseline,baseline,-0.004363865821747452,0.013214541261690936,0.0017093182701560794,0.004722306957055888,-0.019523222692454323
test,mae,robust_noaug - baseline,rate,-0.004340446294696688,0.013995998275380069,0.0027565011775860953,0.004685377967705863,-0.02046321802938202
test,mae,robust_noaug - baseline,position,-0.0025912125359129866,0.012530013392940747,0.003956833204292076,0.005308106008503742,-0.01703857682053478
test,mae,robust_noaug - baseline,duration,-0.0038802118728449623,0.014036188509485936,0.004093355017106565,0.004353121750457569,-0.02008711238609902
test,mae,robust_noaug - baseline,ablation,1.4294690850902292e-05,0.010279832759273473,0.005767391030697693,-0.011853992656615575,0.006129485698470589
test,mae,robust - robust_noaug,baseline,-0.0017023180704948497,0.003479937791965342,-0.005578065595936765,0.0011541975567314067,-0.0006830861722791903
test,mae,robust - robust_noaug,rate,-0.007494253241703201,0.002644334257641812,-0.009057981823374302,-0.008983637144766049,-0.004441140756969252
test,mae,robust - robust_noaug,position,-0.009343100906173638,0.002983047232153305,-0.012787547075979186,-0.007641218095148432,-0.0076005375473932974
test,mae,robust - robust_noaug,duration,-0.005858806380050779,0.001052687400894156,-0.005520557863437118,-0.007039039791593692,-0.0050168214851215275
test,mae,robust - robust_noaug,ablation,-0.01225015105562627,0.0040342270699798306,-0.012249133085341877,-0.008216433067114106,-0.01628488701442283
