split,model,class,rate,f1,sd
test,robust_noaug,neutral,0,0.4709189383438575,0.01129630464999859
test,robust_noaug,neutral,0.1,0.461686604413918,0.009511677809462946
test,robust_noaug,neutral,0.2,0.4277584093910624,0.019331841790008367
test,robust_noaug,neutral,0.3,0.4561053844061795,0.016579721174230955
test,robust_noaug,neutral,0.4,0.4331787342878353,0.01806277501260072
test,robust,neutral,0,0.44883673219583936,0.054544230966717795
test,robust,neutral,0.1,0.4157466929913714,0.041758450980180606
test,robust,neutral,0.2,0.41936757521821555,0.03403714730333055
test,robust,neutral,0.3,0.43974867957638103,0.03955274245371261
test,robust,neutral,0.4,0.3651413761111037,0.03394593881415565
test,baseline,positive,0,0.7682558063205507,0.025732950488036217
test,baseline,positive,0.1,0.7464283292874985,0.02357345432037613
test,baseline,positive,0.2,0.7239193620460568,0.04476025640657137
test,baseline,positive,0.3,0.72070452741525,0.035388255600063284
test,baseline,positive,0.4,0.6961630388947365,0.02309381280676126
test,robust_noaug,positive,0,0.7664591944683852,0.016310234525285256
test,robust_noaug,positive,0.1,0.7408024963989978,0.027854679336604283
test,robust_noaug,positive,0.2,0.7221152272708057,0.022071995208612482
test,robust_noaug,positive,0.3,0.7085584406164176,0.025730501063332616
test,robust_noaug,positive,0.4,0.6895124632173344,0.03891273713076465
test,robust,positive,0,0.7785434401776666,0.011125976504406138
test,robust,positive,0.1,0.7685043208299023,0.017135837229049437
test,robust,positive,0.2,0.7560225572638449,0.021499659271532152
test,robust,positive,0.3,0.7365278694206397,0.019411620488814677
test,robust,positive,0.4,0.7079330094992735,0.0188052342066573
