model,split,condition_id,group,missing_modalities,requested_rate,position,duration,accuracy_mean,accuracy_sd,macro_f1_mean,macro_f1_sd,mae_mean,mae_sd,rmse_mean,rmse_sd,pearson_mean,pearson_sd,f1_negative_mean,f1_negative_sd,f1_neutral_mean,f1_neutral_sd,f1_positive_mean,f1_positive_sd,effective_missing_rate_mean,effective_missing_rate_sd
baseline,test,position__audio__r0p30__random__medium,position,audio,0.3,random,medium,0.6918844566712518,0.02475928473177441,0.6548421099162822,0.016770897131657907,0.6143768279612959,0.0062322537297185565,0.8297507522816505,0.003875378383197881,0.7016990653092394,0.003095870995572195,0.7174081976012103,0.011634725439742439,0.4789979140397424,0.024008368141653816,0.7681202181078941,0.025210677145990217,0.09881360917737032,1.6996749443881478e-17
baseline,test,position__audio__r0p30__suffix__medium,position,audio,0.3,suffix,medium,0.6937184777624942,0.023397250476245874,0.656197763933643,0.014580124211749841,0.6143872199566408,0.0068977944241347495,0.8293549446076787,0.004365003133535169,0.7019820527704569,0.0020119765235114217,0.7173588539785722,0.011985336658132742,0.48053078400812593,0.017045084762312514,0.7707036538142309,0.024959910084537715,0.09881360917737032,1.6996749443881478e-17
baseline,test,position__text__r0p30__middle__medium,position,text,0.3,middle,medium,0.6386978450252178,0.019948931607342617,0.6107884550657877,0.015356505617797318,0.6767901953285008,0.008866112328908379,0.9145862084810868,0.006836557148254556,0.6187954529972582,0.0037425479263604577,0.6491176851355092,0.019851164844959947,0.4645688511026513,0.021758471922325502,0.7186788289592028,0.019159031948630546,0.10753995489753898,0.0
baseline,test,position__text__r0p30__prefix__medium,position,text,0.3,prefix,medium,0.6497019715726732,0.023518236778050778,0.6124001010079799,0.013744639823041813,0.6621266353216939,0.009205973471690224,0.8874179586634551,0.00879854582084288,0.6498737956368298,0.005684468868677315,0.6592246167503296,0.011561789167350905,0.4395113111641516,0.00976981368196825,0.7384643751094583,0.027730777189722507,0.10753995489753898,0.0
baseline,test,position__text__r0p30__random__medium,position,text,0.3,random,medium,0.6134800550206327,0.02433535902744724,0.5817714042714638,0.009867203983676295,0.7074810379607103,0.0025530814770607316,0.9420804130442786,0.002079376530244786,0.5876135289593363,0.009031933338530893,0.6251167947105905,0.018545933583263882,0.4178275666995727,0.005993769582938934,0.7023698514042286,0.03179645136453686,0.10753995489753898,0.0
baseline,test,position__text__r0p30__suffix__medium,position,text,0.3,suffix,medium,0.5823016964695094,0.03302193045397676,0.545143376991328,0.01544251593829269,0.7560260039623973,0.013239504002815069,0.9971685598144218,0.005693273037456235,0.5146428305352678,0.005602526843137273,0.5806774369753097,0.02278731258612111,0.37511936859012424,0.03597767157095299,0.6796333254085501,0.03952229041377244,0.10753995489753898,0.0
baseline,test,position__vision__r0p30__middle__medium,position,vision,0.3,middle,medium,0.6932599724896836,0.02350482460885157,0.6568591122647053,0.014966482838580092,0.6137841052641765,0.0060972089991483515,0.8294602065962549,0.004023534483341278,0.701904713396468,0.002678098040819711,0.7167555357281953,0.012737200827511043,0.48494912773145077,0.018948407491263045,0.76887267333447,0.02378403212736279,0.09283263065006374,0.0
baseline,test,position__vision__r0p30__prefix__medium,position,vision,0.3,prefix,medium,0.6914259513984411,0.022782683629169822,0.6545763735914528,0.013741236824779214,0.6137002342389551,0.007479175884243233,0.829796737081291,0.0046549074738554555,0.7017158698310436,0.002634197358564476,0.716078847435408,0.014900225155756059,0.4798830415319159,0.017841510339205023,0.7677672318070347,0.02413063014697315,0.09283263065006374,0.0
baseline,test,position__vision__r0p30__random__medium,position,vision,0.3,random,medium,0.6909674461256304,0.025598394960491287,0.655320703492547,0.01697778700105345,0.6137031927949917,0.006351433390701959,0.8290954965132439,0.003886502883170994,0.7021584356383359,0.0028265494475066075,0.7161984592071381,0.012977511494647275,0.4836705630929458,0.019532644863669124,0.766093088177557,0.02678560460863472,0.09283263065006374,0.0
baseline,test,position__vision__r0p30__suffix__medium,position,vision,0.3,suffix,medium,0.6909674461256304,0.026183019780411265,0.654647980832467,0.017273350051165405,0.6140616940482188,0.006927218587334674,0.8289320810933676,0.004712002079751541,0.7024043082504648,0.002164179248765989,0.7178049364965253,0.011799792016501075,0.48040523933699003,0.020863840973509195,0.7657337666638856,0.02846648483345901,0.09283263065006374,0.0
baseline,test,rate__audio+vision__r0p10__random__medium,rate,audio+vision,0.1,random,medium,0.692801467216873,0.024074801637460036,0.6558619223961828,0.015750462654202067,0.6139873104474854,0.00681958837877455,0.829051411255091,0.004587290349932703,0.7023044646764669,0.0023913821854109367,0.7173588539785722,0.011985336658132742,0.4815481428891896,0.023113641683354138,0.7686787703207866,0.0252382689177862,0.06439847043827826,0.0
baseline,test,rate__audio+vision__r0p20__random__medium,rate,audio+vision,0.2,random,medium,0.6918844566712518,0.024873646932634334,0.6557305120829557,0.016842727568086642,0.6140984157155832,0.00647394602671081,0.829646964118861,0.004429499487465733,0.7017354501972108,0.002853135669485477,0.7162176293913527,0.011286390129000871,0.4831026875250702,0.021920414192508765,0.7678712193324446,0.025562597180930225,0.12918913618982253,0.0
